Mesocosm,Movement,NutrientP,Node
A4,0,50,1
B1,40,0,1
B2,10,25,1
B3,30,100,1
B4,40,200,1
C1,0,0,1
C2,20,0,1
C3,40,200,1
D1,20,50,1
D2,20,200,1
D4,0,0,1
E1,30,100,1
E2,0,200,1
E3,40,0,1
F1,40,50,1
F3,10,100,1
F4,20,200,1
G1,40,50,1
G2,10,100,1
G3,30,25,1
G4,30,25,1
H1,20,0,1
H2,0,200,1
H4,20,50,1
I5,0,50,1
I2,10,25,1
B5,40,0,2
B6,10,25,2
B7,30,100,2
B8,40,200,2
C6,20,0,2
C7,40,200,2
D5,20,50,2
D6,20,200,2
E5,30,100,2
E7,40,0,2
F5,40,50,2
F7,10,100,2
F8,20,200,2
G5,40,50,2
G6,10,100,2
G7,30,25,2
G8,30,25,2
H5,20,0,2
H8,20,50,2
I6,10,25,2
Reservoir,,,Reservoir
